date,,17.4.2020
Dhaka,,768
Narayanganj,,289
Gazipur,,117
Narsingdi,,65
Chittagong,,37
Kishoreganj,,33
Munshiganj,,27
Madaripur,,23
Mymensingh,,18
Lakshmipur,,18
Barisal,,17
Gopalganj,,17
Comilla,,15
Gaibandha,,12
Jamalpur,,12
Brahamanbaria,,9
Tangail,,9
Dinajpur,,8
Chandpur,,8
Rajbari,,7
Netrakona,,7
Nilphamari,,6
Shariatpur,,6
Sherpur,,5
Barguna,,5
Manikganj,,5
Rajshahi,,4
Rangpur,,4
Pirojpur,,4
Sylhet,,3
Thakurgaon,,3
Jhalokati,,3
Maulvibazar,,2
Faridpur,,2
Lalmonirhat,,2
Noakhali,,2
Patuakhali,,2
Joypurhat,,2
Narail,,2
Kurigram,,2
Khulna,,1
Pabna,,1
Jessore,,1
Bagerhat,,1
Habiganj,,1
Feni,,1
Cox's Bazar,,1
Chuadanga,,1
Sunamganj,,1
Bogra,,1
Bandarban,,1
