date,,10.5.2020
Dhaka,,6868
Narayanganj,,1198
Gazipur,,333
Mymensingh,,221
Chittagong,,220
Munshiganj,,216
Kishoreganj,,202
Narsingdi,,171
Comilla,,171
Rangpur,,128
Jamalpur,,110
Cox's Bazar,,83
Jessore,,79
Habiganj,,73
Netrakona,,68
Lakshmipur,,58
Brahamanbaria,,57
Shariatpur,,57
Gopalganj,,56
Chandpur,,55
Barisal,,54
Madaripur,,54
Dinajpur,,42
Joypurhat,,42
Nilphamari,,41
Sunamganj,,38
Jhenaidah,,38
Barguna,,37
Sherpur,,36
Sylhet,,36
Kurigram,,35
Maulvibazar,,33
Tangail,,31
Noakhali,,30
Manikganj,,28
Patuakhali,,28
Rajshahi,,26
Gaibandha,,25
Naogaon,,25
Faridpur,,24
Rajbari,,23
Thakurgaon,,23
Chuadanga,,23
Kushtia,,21
Khulna,,20
Bogra,,18
Pabna,,18
Nawabganj,,14
Narail,,13
Jhalokati,,13
Natore,,13
Lalmonirhat,,13
Magura,,12
Panchagarh,,10
Feni,,8
Pirojpur,,7
Bhola,,7
Sirajganj,,6
Meherpur,,5
Rangamati,,4
Satkhira,,4
Bandarban,,4
Khagrachhari,,3
Bagerhat,,3
