Dhaka,ঢাকা,10878
Narayanganj,নারায়ণগঞ্জ,1508
Chittagong,চট্টগ্রাম,940
Gazipur,গাজীপুর,535
Munshiganj,মুন্সিগঞ্জ,383
Comilla,কুমিল্লা,371
Mymensingh,ময়মনসিংহ,340
Rangpur,রংপুর,286
Kishoreganj,কিশোরগঞ্জ,207
Cox's Bazar,কক্সবাজার,199
Narsingdi,নরসিংদী,174
Noakhali,নোয়াখালী,168
Jamalpur,জামালপুর,152
Gopalganj,গোপালগঞ্জ,115
Netrakona,নেত্রকোণা,112
Habiganj,হবিগঞ্জ,112
Jessore,যশোর,109
Lakshmipur,লক্ষ্মীপুর,101
Joypurhat,জয়পুরহাট,97
Feni,ফেনী,90
Chuadanga,চুয়াডাঙ্গা,89
Chandpur,চাঁদপুর,86
Shariatpur,শরীয়তপুর,73
Madaripur,মাদারীপুর,69
Faridpur,ফরিদপুর,69
Dinajpur,দিনাজপুর,67
Brahamanbaria,ব্রাহ্মণবাড়িয়া,67
Sherpur,শেরপুর,65
Barisal,বরিশাল,60
Manikganj,মানিকগঞ্জ,58
Kurigram,কুড়িগ্রাম,58
Bogra,বগুড়া,56
Nilphamari,নীলফামারী,53
Sylhet,সিলেট,48
Sunamganj,সুনামগঞ্জ,46
Jhenaidah,ঝিনাইদহ,45
Naogaon,নওগাঁ,45
Natore,নাটোর,44
Tangail,টাঙ্গাইল,41
Maulvibazar,মেহেরপুর,39
Barguna,বরগুনা,37
Nawabganj,চাঁপাইনবাবগঞ্জ,36
Rajshahi,রাজশাহী,34
Khulna,খুলনা,33
Kushtia,কুষ্টিয়া,32
Satkhira,সাতক্ষীরা,30
Patuakhali,পটুয়াখালী,29
Thakurgaon,ঠাকুরগাঁও,29
Rajbari,রাজবাড়ী,27
Rangamati,রাঙ্গামাটি,27
Gaibandha,গাইবান্ধা,26
Lalmonirhat,লালমনিরহাট,25
Magura,মাগুরা,23
Pabna,পাবনা,20
Panchagarh,পঞ্চগড়,20
Narail,নড়াইল,16
Jhalokati,ঝালকাঠি,16
Bhola,ভোলা,13
Bagerhat,বাগেরহাট,11
Khagrachhari,খাগড়াছড়ি,9
Sirajganj,সিরাজগঞ্জ,8
Pirojpur,পিরোজপুর,7
Bandarban,বান্দরবান,7
Meherpur,মৌলভীবাজার,5
