date,,27.4.2020
Dhaka,,2802
Narayanganj,,699
Gazipur,,315
Kishoreganj,,191
Narsingdi,,142
Mymensingh,,108
Munshiganj,,78
Chittagong,,56
Gopalganj,,50
Habiganj,,48
Jamalpur,,45
Comilla,,42
Barisal,,38
Madaripur,,36
Brahamanbaria,,35
Lakshmipur,,31
Barguna,,30
Jessore,,26
Netrakona,,25
Tangail,,24
Sherpur,,23
Shariatpur,,22
Rangpur,,21
Patuakhali,,20
Gaibandha,,17
Bogra,,17
Manikganj,,15
Sunamganj,,15
Dinajpur,,14
Sylhet,,14
Rajbari,,14
Cox's Bazar,,13
Narail,,13
Maulvibazar,,12
Chandpur,,11
Jhenaidah,,11
Kushtia,,10
Joypurhat,,10
Rajshahi,,10
Nilphamari,,10
Faridpur,,9
Khulna,,8
Chuadanga,,8
Thakurgaon,,8
Pirojpur,,7
Kurigram,,6
Jhalokati,,5
Noakhali,,5
Feni,,4
Panchagarh,,4
Bandarban,,4
Magura,,4
Pabna,,2
Meherpur,,2
Sirajganj,,2
Lalmonirhat,,2
Nawabganj,,2
Bhola,,2
Naogaon,,1
Bagerhat,,1
