date,,12.5.2020
Dhaka,,7922
Narayanganj,,1286
Gazipur,,347
Chittagong,,314
Mymensingh,,246
Munshiganj,,217
Kishoreganj,,205
Comilla,,186
Narsingdi,,172
Rangpur,,143
Jamalpur,,110
Cox's Bazar,,107
Jessore,,84
Netrakona,,81
Habiganj,,81
Lakshmipur,,74
Gopalganj,,62
Shariatpur,,60
Noakhali,,59
Brahamanbaria,,58
Madaripur,,57
Chandpur,,56
Barisal,,56
Joypurhat,,55
Dinajpur,,43
Sunamganj,,43
Nilphamari,,43
Jhenaidah,,41
Sherpur,,39
Sylhet,,39
Barguna,,37
Maulvibazar,,36
Kurigram,,36
Naogaon,,33
Faridpur,,32
Tangail,,32
Chuadanga,,30
Manikganj,,29
Patuakhali,,29
Rajshahi,,27
Gaibandha,,25
Thakurgaon,,24
Kushtia,,23
Rajbari,,23
Khulna,,22
Bogra,,18
Magura,,18
Pabna,,18
Lalmonirhat,,15
Nawabganj,,15
Narail,,14
Jhalokati,,13
Feni,,13
Natore,,13
Panchagarh,,10
Bhola,,10
Pirojpur,,7
Sirajganj,,6
Meherpur,,5
Bagerhat,,5
Bandarban,,5
Rangamati,,4
Satkhira,,4
Khagrachhari,,3
