Dhaka,,14974
Narayanganj,,1916
Chittagong,,1910
Munshiganj,,655
Comilla,,637
Gazipur,,609
Cox's Bazar,,435
Noakhali,,417
Mymensingh,,400
Rangpur,,386
Kishoreganj,,231
Sylhet,,213
Netrakona,,206
Jamalpur,,206
Bogura,,196
Narsingdi,,175
Gopalganj,,165
Habiganj,,161
Faridpur,,147
Jessore,,142
Joypurhat,,135
Manikganj,,130
Dinajpur,,115
Madaripur,,107
Chandpur,,107
Lakshmipur,,104
Naogaon,,102
Brahamanbaria,,101
Sunamganj,,97
Feni,,96
Maulvibazar,,94
Nilphamari,,90
Shariatpur,,89
Chuadanga,,88
Sherpur,,81
Barisal,,68
Rajbari,,66
Khulna,,64
Kurigram,,64
Rangamati,,63
Thakurgaon,,61
Rajshahi,,54
Tangail,,51
Natore,,51
Jhenaidah,,48
Nawabganj,,46
Barguna,,44
Panchagarh,,40
Kushtia,,39
Satkhira,,38
Pabna,,37
Patuakhali,,36
Gaibandha,,35
Lalmonirhat,,31
Jhalokati,,27
Khagrachhari,,26
Narail,,25
Magura,,24
Pirojpur,,22
Bandarban,,22
Bagerhat,,17
Sirajganj,,16
Bhola,,14
Meherpur,,12
