Number of area,127Total confirmed,1876Abdullahpur,1
Adabor,9
Agargaon,12
Aminbazar,2
Amlapara,2
Arambagh,2
Armanitola,3
Ashkona,1
Azimpur,21
Babu Bazar,29
Badda,41
Baily Road,4
Bakshibazar,2
Baridhara,7
Banasree,2
Banani,12
Banglamotor,3
Bangshal,56
Banianagar,1
Basabo,34
Bijoynagar,1
Bashundhora,13
Begunbari,2
Begum Bazar,1
Beribadh,1
Bokshi Bazar,5
Bosila,1
Buet Area,1
Cantonment,8
Central Road,2
Chankharpool,31
Chawk Bazar,32
Dania,4
Dakshinkhan,1
Dhakkeshori,1
Demra,10
Dhanmondi,38
Dhalpur,4
Dholaipar,2
Dholaikhal,2
Doyaganj,3
Eskaton,13
Faridabagh,1
Fakirapool,2
Forashganj,2
Farmgate,18
Gendaria,45
Golartek,1
Goran,3
Golapbagh,3
Gonoktuli,3
Gopibag,19
Green Road,12
Gulistan,7
Gulshan,27
Hatir jhil,5
Hatirpool,4
Hazaribagh,38
Ibrahimpur,2
Islambagh,2
Islampur,2
Jailgate,2
Jatrabari,99
Jigatala,7
Jurain,32
Kallyanpur,6
Kalabagan,7
Kakrail,137
Kathalbagan,1
Kamalapur,3
kajla,3
Kamrangir Char,24
Kazi para,10
Kawran Bazar,10
Koratitola,1
Kosaituli,1
Kochukhet,1
Khilgaon,35
Khilkhet,4
Koltabazar,1
Kodomtoli,6
Kotowali,11
Kutubkhali,6
Kuril,2
Laxmibazar,12
Madartek,3
Malitola,4
Malibagh,58
Matikata,4
Manda,11
Maniknagar,5
Manikdi,1
Matuail,5
Meradia,3
Mirhajaribagh,5
Mirpur-1,32
Mirpur-2,2
Mirpur-6,7
Mirpur-10,18
Mirpur-11,31
Mirpur-12,18
Mirpur-13,3
Mirpur-14,37
Mitford,38
Mogbazar,43
Monipur,1
Mohakhali,68
Mohonpur,1
Mohammadpur,80
Motijeel,4
Mugda,69
Nawabpur,2
Nazirabazar,9
Nawabganj,4
Narinda,14
New market,10
Nilkhet,4
Nakhalpara,11
Nayabazar,8
Neemtoli,5
Nikunja,1
Pallabi,5
Paltan,29
Pirerbagh,3
Postogola,6
Purana Paltan,27
Rajarbagh,150
