Dhaka,,5842
Narayanganj,,1072
Gazipur,,328
Kishoreganj,,202
Mymensingh,,198
Munshiganj,,170
Narsingdi,,167
Comilla,,130
Chittagong,,112
Rangpur,,82
Jamalpur,,79
Jessore,,75
Habiganj,,70
Netrakona,,62
Brahamanbaria,,56
Shariatpur,,54
Madaripur,,53
Gopalganj,,45
Lakshmipur,,45
Barisal,,44
Cox's Bazar,,40
Chandpur,,37
Sunamganj,,35
Joypurhat,,34
Jhenaidah,,33
Barguna,,33
Nilphamari,,31
Tangail,,30
Dinajpur,,29
Maulvibazar,,29
Manikganj,,28
Patuakhali,,28
Sylhet,,27
Sherpur,,27
Rajshahi,,26
Gaibandha,,24
Rajbari,,23
Noakhali,,22
Kurigram,,22
Faridpur,,21
Thakurgaon,,20
Kushtia,,18
Bogra,,18
Khulna,,17
Naogaon,,17
Pabna,,16
Chuadanga,,15
Narail,,13
Natore,,11
Jhalokati,,10
Panchagarh,,8
Magura,,8
Feni,,7
Bhola,,6
Meherpur,,4
Lalmonirhat,,4
Satkhira,,4
Bandarban,,4
Sirajganj,,4
Nawabganj,,2
Bagerhat,,2
Khagrachhari,,2
Pirojpur,,0
