date,,25.4.2020
Dhaka,,2299
Narayanganj,,594
Gazipur,,261
Kishoreganj,,181
Narsingdi,,141
Mymensingh,,87
Munshiganj,,62
Chittagong,,46
Gopalganj,,46
Habiganj,,41
Comilla,,39
Barisal,,38
Jamalpur,,37
Brahamanbaria,,29
Madaripur,,29
Lakshmipur,,28
Netrakona,,25
Barguna,,23
Tangail,,22
Patuakhali,,19
Sherpur,,19
Rangpur,,18
Gaibandha,,16
Shariatpur,,14
Dinajpur,,13
Sunamganj,,13
Rajbari,,12
Manikganj,,12
Bogra,,11
Sylhet,,11
Nilphamari,,10
Rajshahi,,10
Chandpur,,10
Faridpur,,9
Chuadanga,,8
Pirojpur,,7
Khulna,,7
Narail,,7
Jessore,,7
Thakurgaon,,7
Cox's Bazar,,6
Jhalokati,,5
Noakhali,,5
Kushtia,,4
Maulvibazar,,4
Joypurhat,,4
Bandarban,,4
Feni,,3
Panchagarh,,3
Pabna,,3
Kurigram,,3
Naogaon,,2
Meherpur,,2
Magura,,2
Lalmonirhat,,2
Sirajganj,,2
Bhola,,2
Bagerhat,,1
Nawabganj,,1
