Dhaka,,15626
Chittagong,,1948
Narayanganj,,1917
Comilla,,680
Munshiganj,,655
Gazipur,,618
Cox's Bazar,,470
Noakhali,,417
Mymensingh,,409
Rangpur,,394
Sylhet,,232
Kishoreganj,,231
Netrakona,,210
Jamalpur,,206
Bogura,,196
Narsingdi,,175
Gopalganj,,165
Habiganj,,165
Faridpur,,147
Jessore,,144
Joypurhat,,135
Manikganj,,132
Brahamanbaria,,115
Dinajpur,,115
Madaripur,,107
Chandpur,,107
Lakshmipur,,104
Maulvibazar,,103
Naogaon,,102
Sunamganj,,97
Feni,,96
Nilphamari,,90
Shariatpur,,89
Chuadanga,,88
Sherpur,,83
Barisal,,68
Khulna,,67
Rajbari,,66
Kurigram,,64
Rangamati,,63
Thakurgaon,,61
Rajshahi,,56
Tangail,,51
Natore,,51
Nawabganj,,49
Jhenaidah,,48
Barguna,,44
Panchagarh,,40
Satkhira,,40
Kushtia,,39
Pabna,,37
Patuakhali,,36
Gaibandha,,36
Lalmonirhat,,35
Khagrachhari,,35
Jhalokati,,27
Narail,,26
Magura,,24
Pirojpur,,23
Bandarban,,22
Sirajganj,,17
Bagerhat,,17
Bhola,,14
Meherpur,,12
