date,,20.4.2020
Dhaka,,1216
Narayanganj,,387
Gazipur,,269
Kishoreganj,,146
Narsingdi,,135
Chittagong,,43
Mymensingh,,33
Munshiganj,,33
Gopalganj,,30
Madaripur,,25
Lakshmipur,,25
Barisal,,24
Comilla,,21
Jamalpur,,21
Netrakona,,14
Sherpur,,13
Gaibandha,,13
Barguna,,12
Brahamanbaria,,11
Dinajpur,,11
Chandpur,,10
Tangail,,10
Nilphamari,,9
Shariatpur,,8
Rajbari,,8
Manikganj,,7
Rangpur,,6
Thakurgaon,,6
Faridpur,,6
Rajshahi,,5
Pirojpur,,5
Noakhali,,4
Sylhet,,4
Jhalokati,,4
Khulna,,3
Bagerhat,,2
Patuakhali,,2
Kurigram,,2
Pabna,,2
Lalmonirhat,,2
Feni,,2
Narail,,2
Joypurhat,,2
Maulvibazar,,2
Habiganj,,1
Jessore,,1
Naogaon,,1
Cox's Bazar,,1
Chuadanga,,1
Bogra,,1
Sirajganj,,1
Sunamganj,,1
Bandarban,,1
Panchagarh,,1
