date,,23.4.2020
Dhaka,,1716
Narayanganj,,532
Gazipur,,269
Kishoreganj,,146
Narsingdi,,137
Mymensingh,,68
Munshiganj,,63
Chittagong,,45
Gopalganj,,40
Barisal,,34
Jamalpur,,30
Madaripur,,28
Comilla,,27
Lakshmipur,,26
Brahamanbaria,,25
Netrakona,,22
Barguna,,20
Sherpur,,19
Habiganj,,18
Tangail,,16
Gaibandha,,14
Dinajpur,,13
Shariatpur,,11
Rajbari,,11
Rangpur,,10
Patuakhali,,10
Nilphamari,,10
Chandpur,,10
Bogra,,10
Manikganj,,9
Rajshahi,,9
Thakurgaon,,8
Narail,,7
Faridpur,,7
Sylhet,,6
Khulna,,6
Pirojpur,,5
Sunamganj,,5
Jhalokati,,5
Jessore,,5
Cox's Bazar,,5
Maulvibazar,,4
Bandarban,,4
Kurigram,,4
Joypurhat,,4
Noakhali,,4
Pabna,,3
Feni,,3
Chuadanga,,2
Sirajganj,,2
Lalmonirhat,,2
Panchagarh,,2
Kushtia,,2
Meherpur,,1
Nawabganj,,1
Natore,,1
Naogaon,,1
Bagerhat,,1
Magura,,1
