date,,14.5.2020
Dhaka,,8490
Narayanganj,,1345
Chittagong,,497
Gazipur,,460
Munshiganj,,283
Mymensingh,,262
Comilla,,225
Kishoreganj,,206
Narsingdi,,173
Rangpur,,156
Cox's Bazar,,127
Jamalpur,,112
Habiganj,,100
Jessore,,89
Lakshmipur,,89
Netrakona,,82
Chandpur,,74
Noakhali,,69
Shariatpur,,66
Gopalganj,,65
Madaripur,,61
Brahamanbaria,,59
Barisal,,59
Joypurhat,,55
Faridpur,,47
Dinajpur,,46
Jhenaidah,,43
Nilphamari,,43
Sunamganj,,43
Chuadanga,,41
Sherpur,,40
Kurigram,,39
Sylhet,,39
Barguna,,37
Maulvibazar,,37
Tangail,,35
Naogaon,,33
Manikganj,,29
Patuakhali,,29
Bogra,,29
Rajshahi,,27
Kushtia,,25
Feni,,25
Gaibandha,,25
Rajbari,,24
Rangamati,,24
Thakurgaon,,24
Khulna,,23
Magura,,22
Pabna,,18
Nawabganj,,15
Lalmonirhat,,15
Narail,,15
Natore,,14
Jhalokati,,13
Panchagarh,,11
Bhola,,11
Pirojpur,,7
Khagrachhari,,7
Bagerhat,,6
Sirajganj,,6
Meherpur,,5
Satkhira,,5
Bandarban,,5
