Brunei,BRN,ব্রুনেই,nan,4.5353,114.7277
Burkina Faso,BFA,বুরকিনা ফাসো,nan,12.2383,-1.5616
Mongolia,MNG,মঙ্গোলিয়া,nan,46.8625,103.8467
Panama,PAN,পানামা,nan,8.538,-80.7821
China,CHN,চীন,Hubei,30.9756,112.2707
Iran,IRN,ইরান,nan,32.0,53.0
France,FRA,ফ্রান্স,France,46.2276,2.2137
China,CHN,চীন,Guangdong,23.3417,113.4244
China,CHN,চীন,Henan,33.882,113.61399999999999
China,CHN,চীন,Zhejiang,29.1832,120.0934
China,CHN,চীন,Hunan,27.6104,111.7088
China,CHN,চীন,Anhui,31.8257,117.2264
China,CHN,চীন,Jiangxi,27.614,115.7221
China,CHN,চীন,Shandong,36.3427,118.1498
China,CHN,চীন,Jiangsu,32.9711,119.455
China,CHN,চীন,Chongqing,30.0572,107.874
China,CHN,চীন,Sichuan,30.6171,102.7103
China,CHN,চীন,Heilongjiang,47.861999999999995,127.7615
Denmark,DNK,ডেনমার্ক,Denmark,56.2639,9.5018
China,CHN,চীন,Beijing,40.1824,116.4142
China,CHN,চীন,Shanghai,31.201999999999998,121.4491
China,CHN,চীন,Hebei,39.549,116.1306
China,CHN,চীন,Fujian,26.0789,117.9874
China,CHN,চীন,Guangxi,23.8298,108.7881
China,CHN,চীন,Shaanxi,35.1917,108.8701
China,CHN,চীন,Yunnan,24.974,101.48700000000001
China,CHN,চীন,Hainan,19.1959,109.7453
China,CHN,চীন,Guizhou,26.8154,106.8748
China,CHN,চীন,Tianjin,39.3054,117.323
China,CHN,চীন,Shanxi,37.5777,112.2922
China,CHN,চীন,Gansu,37.8099,101.0583
China,CHN,চীন,Hong Kong,22.3,114.2
China,CHN,চীন,Liaoning,41.2956,122.6085
China,CHN,চীন,Jilin,43.6661,126.1923
China,CHN,চীন,Xinjiang,41.1129,85.2401
China,CHN,চীন,Inner Mongolia,44.0935,113.9448
China,CHN,চীন,Ningxia,37.2692,106.1655
Vietnam,VNM,ভিয়েতনাম,nan,16.0,108.0
Russia,RUS,রাশিয়া,nan,60.0,90.0
China,CHN,চীন,Qinghai,35.7452,95.9956
China,CHN,চীন,Macau,22.1667,113.55
Moldova,MDA,মলদোভা,nan,47.4116,28.3699
Bolivia,BOL,বলিভিয়া,nan,-16.2902,-63.5887
Denmark,DNK,ডেনমার্ক,Faroe Islands,61.8926,-6.9118
France,FRA,ফ্রান্স,St Martin,18.0708,-63.0501
Honduras,HND,হন্ডুরাস,nan,15.2,-86.2419
United Kingdom,GBR,যুক্তরাজ্য,Channel Islands,49.3723,-2.3644
Canada,CAN,কানাডা,New Brunswick,46.5653,-66.4619
China,CHN,চীন,Tibet,31.6927,88.0924
France,FRA,ফ্রান্স,Saint Barthelemy,17.9,-62.8333
Jamaica,JAM,জ্যামাইকা,nan,18.1096,-77.2975
Turkey,TUR,তুরস্ক,nan,38.9637,35.2433
United Kingdom,GBR,যুক্তরাজ্য,Gibraltar,36.1408,-5.3536
Cuba,CUB,কিউবা,nan,22.0,-80.0
Guyana,GUY,গায়ানা,nan,5.0,-58.75
Australia,AUS,অস্ট্রেলিয়া,Australian Capital Territory,-35.4735,149.0124
United Kingdom,GBR,যুক্তরাজ্য,United Kingdom,55.3781,-3.4360000000000004
Kazakhstan,KAZ,কাজাখস্থান,nan,48.0196,66.9237
France,FRA,ফ্রান্স,French Polynesia,-17.6797,149.4068
Canada,CAN,কানাডা,Manitoba,53.7609,-98.8139
Canada,CAN,কানাডা,Saskatchewan,52.9399,-106.4509
Ethiopia,ETH,ইথিওপিয়া,nan,9.145,40.4897
Sudan,SDN,সুদান,nan,12.8628,30.2176
Guinea,GIN,গিনি,nan,9.9456,-9.6966
Canada,CAN,কানাডা,Grand Princess,37.6489,-122.6655
Kenya,KEN,কেনিয়া,nan,-0.0236,37.9062
Uruguay,URY,উরুগুয়ে,nan,-32.5228,-55.7658
Ghana,GHA,ঘানা,nan,7.9465,-1.0232
Namibia,NAM,নামিবিয়া,nan,-22.9576,18.4904
Trinidad and Tobago,TTO,ত্রিনিদাদ এবং টোবাগো,nan,10.6918,-61.2225
Venezuela,VEN,ভেনিজুয়েলা,nan,6.4238,-66.5897
Gabon,GAB,গ্যাবন,nan,-0.8037,11.6094
Guatemala,GTM,গুয়াতেমালা,nan,15.7835,-90.2308
Mauritania,MRT,মৌরিতিনিয়া,nan,21.0079,10.9408
Rwanda,RWA,রুয়ান্ডা,nan,-1.9403,29.8739
Suriname,SUR,সুরিনাম,nan,3.9193,-56.0278
France,FRA,ফ্রান্স,French Guiana,3.9339,-53.1258
Kosovo,CS-KM,কসোভো,nan,42.6026,20.903000000000002
Canada,CAN,কানাডা,Newfoundland and Labrador,53.1355,-57.6604
Canada,CAN,কানাডা,Prince Edward Island,46.5107,-63.4168
Central African Republic,CAF,সেন্ট্রাল আফ্রিকা,nan,6.6111,20.9394
Equatorial Guinea,GNQ,ইকুয়েটোরিয়াল গিনি,nan,1.5,10.0
France,FRA,ফ্রান্স,Mayotte,-12.8275,45.1662
Uzbekistan,UZB,উজবেকিস্তান,nan,41.3775,64.5853
Netherlands,NLD,নেদারল্যান্ড,Netherlands,52.1326,5.2913
Canada,CAN,কানাডা,Nova Scotia,44.681999999999995,-63.7443
France,FRA,ফ্রান্স,Guadeloupe,16.25,-61.5833
Benin,BEN,বেনিন,nan,9.3077,2.3158
Liberia,LBR,লাইবেরিয়া,nan,6.4281,-9.4295
Netherlands,NLD,নেদারল্যান্ড,Curacao,12.1696,-68.99
Somalia,SOM,সোমালিয়া,nan,5.1521,46.1996
United Kingdom,GBR,যুক্তরাজ্য,Cayman Islands,19.3133,-81.2546
France,FRA,ফ্রান্স,Reunion,-21.1351,55.2471
Montenegro,MNE,মন্টিনিগ্রো,nan,42.5,19.3
Kyrgyzstan,KGZ,কিরগিজস্থান,nan,41.2044,74.7661
Netherlands,NLD,নেদারল্যান্ড,Aruba,12.5186,-70.0358
Zambia,ZMB,জাম্বিয়া,nan,-15.4167,28.2833
Djibouti,DJI,জিবুতি,nan,11.8251,42.5903
United Kingdom,GBR,যুক্তরাজ্য,Montserrat,16.7425,-62.1874
Denmark,DNK,ডেনমার্ক,Greenland,71.7069,-42.6043
France,FRA,ফ্রান্স,New Caledonia,-20.9043,165.618
United Kingdom,GBR,যুক্তরাজ্য,Bermuda,32.3078,-64.7505
Chad,TCD,চাঁদ,nan,15.4542,18.7322
El Salvador,SLV,এল সালভাদর,nan,13.7942,-88.8965
Fiji,FJI,ফিজি,nan,-17.7134,178.065
Nicaragua,NIC,নিকারাগুয়া,nan,12.8654,-85.2072
Madagascar,MDG,মাদাগাস্কার,nan,-18.7669,46.8691
Haiti,HTI,হাইতি,nan,18.9712,-72.2852
Angola,AGO,এঙ্গোলা,nan,-11.2027,17.8739
Netherlands,NLD,নেদারল্যান্ড,Sint Maarten,18.0425,-63.0548
Niger,NER,নাইজার,nan,17.6078,8.0817
Papua New Guinea,PNG,পাপুয়া নিউ গিনি,nan,-6.315,143.9555
United Kingdom,GBR,যুক্তরাজ্য,Isle of Man,54.2361,-4.5481
Zimbabwe,ZWE,জিম্বাবুয়ে,nan,-20.0,30.0
Canada,CAN,কানাডা,Northwest Territories,64.8255,-124.8457
East Timor,TLS,পূর্ব তিমুর,nan,-8.55,125.56
Eritrea,ERI,ইরিত্রিয়া,nan,15.1794,39.7823
Uganda,UGA,উগান্ডা,nan,1.0,32.0
Mozambique,MOZ,মোজাম্বিক,nan,-18.6657,35.5296
Syria,SYR,সিরিয়া,nan,34.8021,38.9968
French Guiana,GUF,ফ্রেঞ্চ গায়ানা,nan,3.9339,-53.1258
Greenland,GRL,গ্রিনল্যান্ড,nan,72.0,-40.0
Puerto Rico,PRI,পুয়ের্তো রিকো,nan,18.2,-66.5
Republic of the Congo,COG,কঙ্গো প্রজাতন্ত্র,nan,-1.44,15.556
The Bahamas,BHS,বাহামা দ্বীপপুঞ্জ,nan,24.25,-76.0
