date,,11.5.2020
Dhaka,,7509
Narayanganj,,1243
Gazipur,,338
Chittagong,,266
Mymensingh,,233
Munshiganj,,216
Kishoreganj,,205
Comilla,,182
Narsingdi,,172
Rangpur,,134
Jamalpur,,110
Cox's Bazar,,95
Jessore,,79
Habiganj,,74
Netrakona,,70
Shariatpur,,65
Lakshmipur,,59
Gopalganj,,58
Madaripur,,57
Brahamanbaria,,57
Chandpur,,56
Barisal,,55
Noakhali,,48
Joypurhat,,47
Dinajpur,,42
Nilphamari,,41
Jhenaidah,,40
Sherpur,,39
Sunamganj,,38
Barguna,,37
Sylhet,,36
Maulvibazar,,36
Kurigram,,35
Naogaon,,33
Tangail,,31
Faridpur,,31
Manikganj,,29
Patuakhali,,29
Rajshahi,,27
Chuadanga,,25
Gaibandha,,25
Rajbari,,23
Thakurgaon,,23
Kushtia,,23
Khulna,,22
Bogra,,18
Pabna,,18
Narail,,14
Magura,,14
Nawabganj,,14
Jhalokati,,13
Natore,,13
Lalmonirhat,,13
Panchagarh,,10
Bhola,,10
Feni,,9
Pirojpur,,7
Sirajganj,,6
Meherpur,,5
Rangamati,,4
Satkhira,,4
Bandarban,,4
Bagerhat,,3
Khagrachhari,,3
