Number of area,132Total confirmed,2395Abdullahpur,2
Aftabnagar,1
Adabor,14
Agargaon,32
Aminbazar,2
Amlapara,2
Arambagh,6
Armanitola,3
Asad Gate,1
Ashulia,1
Ashkona,1
Azimpur,23
Babu Bazar,66
Badda,46
Baily Road,5
Bakshibazar,2
Baridhara,8
Banasree,5
Banani,17
Banglamotor,4
Bangshal,63
Banianagar,1
Basabo,43
Bijoynagar,1
Bashundhora,15
Begunbari,3
Begum Bazar,1
Beribadh,1
Bokshi Bazar,5
Bosila,1
Buet Area,1
Cantonment,9
Central Road,2
Chankharpool,36
Chawk Bazar,43
Dania,7
Dakshinkhan,1
Dhakkeshori,1
Demra,16
Dhanmondi,46
Dhalpur,9
Dholaipar,5
Dholaikhal,2
Doyaganj,3
Eskaton,17
Faridabagh,1
Fakirapool,3
Forashganj,2
Farmgate,32
Gendaria,56
Golartek,1
Goran,8
Golapbagh,6
Gonoktuli,3
Gopibag,29
Green Road,13
Gulistan,8
Gulshan,41
Hatir jhil,6
Hatirpool,6
Hazaribagh,39
Ibrahimpur,3
Islambagh,2
Islampur,2
Jailgate,2
Jatrabari,143
Jigatala,8
Jurain,36
Kafrul,2
Kallyanpur,10
Kalabagan,12
Kakrail,162
Kathalbagan,4
Kamalapur,5
kajla,3
Kamrangir Char,35
Kazi para,10
Kawran Bazar,13
Koratitola,1
Kosaituli,1
Kochukhet,1
Khilgaon,53
Khilkhet,4
Koltabazar,1
Kodomtoli,9
Kotowali,11
Kutubkhali,6
Kuril,2
Lalbagh,89
Laxmibazar,18
Madartek,3
Malitola,4
Malibagh,78
Matikata,4
Manda,23
Maniknagar,22
Manikdi,1
Matuail,5
Meradia,5
Mirhajaribagh,5
Mirpur-1,33
Mirpur-2,7
Mirpur-6,9
Mirpur-10,19
Mirpur-11,33
Mirpur-12,19
Mirpur-13,5
Mirpur-14,39
Mitford,38
Mogbazar,55
Monipur,1
Mohakhali,111
Mohonpur,1
Mohammadpur,104
Motijeel,6
Mugda,121
Nawabpur,2
Nazirabazar,9
Nawabganj,4
Narinda,18
New market,10
Nilkhet,4
Nakhalpara,16
Nayabazar,8
Neemtoli,7
Nikunja,1
Panthapath,11
Pallabi,9
Paltan,31
Pirerbagh,5
Postogola,7
Purana Paltan,27
