Dhaka,,10878
Narayanganj,,1508
Chittagong,,940
Gazipur,,535
Munshiganj,,383
Comilla,,371
Mymensingh,,340
Rangpur,,286
Kishoreganj,,207
Cox's Bazar,,199
Narsingdi,,174
Noakhali,,168
Jamalpur,,152
Gopalganj,,115
Netrakona,,112
Habiganj,,112
Jessore,,109
Lakshmipur,,101
Joypurhat,,97
Feni,,90
Chuadanga,,89
Chandpur,,86
Shariatpur,,73
Madaripur,,69
Faridpur,,69
Dinajpur,,67
Brahamanbaria,,67
Sherpur,,65
Barisal,,60
Manikganj,,58
Kurigram,,58
Bogra,,56
Nilphamari,,53
Sylhet,,48
Sunamganj,,46
Jhenaidah,,45
Naogaon,,45
Natore,,44
Tangail,,41
Maulvibazar,,39
Barguna,,37
Nawabganj,,36
Rajshahi,,34
Khulna,,33
Kushtia,,32
Satkhira,,30
Patuakhali,,29
Thakurgaon,,29
Rajbari,,27
Rangamati,,27
Gaibandha,,26
Lalmonirhat,,25
Magura,,23
Pabna,,20
Panchagarh,,20
Narail,,16
Jhalokati,,16
Bhola,,13
Bagerhat,,11
Khagrachhari,,9
Sirajganj,,8
Pirojpur,,7
Bandarban,,7
Meherpur,,5
