date,,16.5.2020
Dhaka,,9190
Narayanganj,,1426
Chittagong,,619
Gazipur,,509
Munshiganj,,297
Mymensingh,,284
Comilla,,278
Rangpur,,213
Kishoreganj,,206
Narsingdi,,173
Cox's Bazar,,161
Jamalpur,,118
Jessore,,106
Noakhali,,103
Habiganj,,100
Netrakona,,91
Lakshmipur,,88
Gopalganj,,82
Chuadanga,,79
Chandpur,,79
Joypurhat,,69
Shariatpur,,67
Madaripur,,61
Barisal,,60
Brahamanbaria,,60
Faridpur,,55
Dinajpur,,53
Nilphamari,,50
Feni,,48
Naogaon,,45
Jhenaidah,,44
Sunamganj,,44
Kurigram,,42
Sherpur,,41
Sylhet,,40
Maulvibazar,,37
Barguna,,37
Tangail,,35
Rajshahi,,31
Patuakhali,,29
Manikganj,,29
Bogra,,29
Rajbari,,27
Thakurgaon,,27
Rangamati,,26
Gaibandha,,26
Kushtia,,25
Magura,,23
Khulna,,23
Lalmonirhat,,22
Pabna,,18
Panchagarh,,15
Narail,,15
Nawabganj,,15
Jhalokati,,14
Natore,,14
Bhola,,11
Pirojpur,,7
Khagrachhari,,7
Sirajganj,,7
Bagerhat,,6
Satkhira,,5
Meherpur,,5
Bandarban,,5
