date,,28.4.2020
Dhaka,,3095
Narayanganj,,849
Gazipur,,318
Kishoreganj,,194
Narsingdi,,142
Mymensingh,,117
Munshiganj,,82
Chittagong,,67
Jamalpur,,52
Gopalganj,,50
Habiganj,,48
Comilla,,47
Barisal,,40
Madaripur,,38
Jessore,,36
Brahamanbaria,,35
Lakshmipur,,34
Barguna,,30
Rangpur,,28
Tangail,,27
Netrakona,,27
Sunamganj,,26
Shariatpur,,24
Sherpur,,23
Patuakhali,,23
Joypurhat,,21
Gaibandha,,19
Cox's Bazar,,19
Jhenaidah,,19
Bogra,,17
Dinajpur,,16
Sylhet,,16
Manikganj,,15
Thakurgaon,,15
Rajbari,,14
Narail,,13
Maulvibazar,,12
Chandpur,,11
Nilphamari,,11
Rajshahi,,10
Kushtia,,10
Faridpur,,9
Chuadanga,,8
Khulna,,8
Pabna,,8
Pirojpur,,8
Panchagarh,,7
Jhalokati,,6
Kurigram,,6
Noakhali,,6
Magura,,4
Bandarban,,4
Feni,,4
Bhola,,4
Sirajganj,,3
Meherpur,,2
Nawabganj,,2
Lalmonirhat,,2
Bagerhat,,1
Naogaon,,1
