date,,29.4.2020
Dhaka,,3518
Narayanganj,,863
Gazipur,,320
Kishoreganj,,197
Narsingdi,,142
Mymensingh,,125
Munshiganj,,109
Comilla,,81
Chittagong,,70
Jessore,,62
Jamalpur,,58
Habiganj,,52
Gopalganj,,52
Barisal,,40
Madaripur,,38
Brahamanbaria,,37
Lakshmipur,,35
Barguna,,30
Netrakona,,29
Joypurhat,,28
Sunamganj,,28
Rangpur,,28
Tangail,,28
Sherpur,,25
Shariatpur,,24
Patuakhali,,23
Manikganj,,21
Gaibandha,,20
Cox's Bazar,,20
Jhenaidah,,19
Rajshahi,,19
Bogra,,18
Dinajpur,,18
Sylhet,,16
Thakurgaon,,16
Naogaon,,15
Rajbari,,14
Chandpur,,13
Narail,,13
Kushtia,,13
Nilphamari,,13
Faridpur,,12
Maulvibazar,,12
Khulna,,11
Pabna,,8
Chuadanga,,8
Pirojpur,,8
Panchagarh,,8
Natore,,8
Kurigram,,7
Jhalokati,,6
Magura,,6
Noakhali,,6
Bhola,,5
Feni,,4
Bandarban,,4
Sirajganj,,3
Lalmonirhat,,3
Nawabganj,,2
Meherpur,,2
Satkhira,,1
Bagerhat,,1
