date,,18.4.2020
Dhaka,,879
Narayanganj,,309
Gazipur,,159
Narsingdi,,93
Kishoreganj,,54
Chittagong,,38
Munshiganj,,33
Madaripur,,25
Gopalganj,,21
Mymensingh,,19
Barisal,,18
Lakshmipur,,18
Comilla,,17
Jamalpur,,17
Netrakona,,12
Gaibandha,,12
Sherpur,,11
Brahamanbaria,,10
Tangail,,9
Nilphamari,,9
Barguna,,9
Dinajpur,,9
Chandpur,,8
Rajbari,,7
Shariatpur,,7
Manikganj,,6
Thakurgaon,,5
Rajshahi,,4
Rangpur,,4
Pirojpur,,4
Faridpur,,4
Sylhet,,3
Noakhali,,3
Jhalokati,,3
Patuakhali,,2
Lalmonirhat,,2
Narail,,2
Kurigram,,2
Joypurhat,,2
Maulvibazar,,2
Bandarban,,1
Sunamganj,,1
Habiganj,,1
Panchagar,,1
Pabna,,1
Feni,,1
Chuadanga,,1
Cox's Bazar,,1
Bagerhat,,1
Khulna,,1
Jessore,,1
Bogra,,1
