date,,22.4.2020
Dhaka,ঢাকা,1523
Narayanganj,নারায়ণগঞ্জ,508
Gazipur,গাজীপুর,269
Kishoreganj,কিশোরগঞ্জ,146
Narsingdi,নরসিংদী,136
Mymensingh,ময়মনসিংহ,63
Munshiganj,মুন্সিগঞ্জ,61
Chittagong,চট্টগ্রাম,42
Gopalganj,গোপালগঞ্জ,35
Barisal,বরিশাল,34
Jamalpur,জামালপুর,29
Madaripur,মাদারীপুর,27
Comilla,কুমিল্লা,26
Lakshmipur,লক্ষ্মীপুর,25
Brahamanbaria,ব্রাহ্মণবাড়িয়া,24
Netrakona,নেত্রকোণা,22
Sherpur,শেরপুর,19
Barguna,বরগুনা,17
Tangail,টাঙ্গাইল,15
Dinajpur,দিনাজপুর,13
Gaibandha,গাইবান্ধা,13
Habiganj,হবিগঞ্জ,13
Shariatpur,শরীয়তপুর,11
Patuakhali,পটুয়াখালী,10
Nilphamari,নীলফামারী,10
Rajbari,রাজবাড়ী,10
Chandpur,চাঁদপুর,10
Rajshahi,রাজশাহী,9
Rangpur,রংপুর,9
Manikganj,মানিকগঞ্জ,9
Thakurgaon,ঠাকুরগাঁও,8
Narail,নড়াইল,7
Faridpur,ফরিদপুর,6
Pirojpur,পিরোজপুর,5
Cox's Bazar,কক্সবাজার,5
Bogra,বগুড়া,5
Jhalokati,ঝালকাঠি,5
Jessore,যশোর,5
Khulna,খুলনা,4
Noakhali,নোয়াখালী,4
Bandarban,বান্দরবান,4
Sylhet,সিলেট,4
Joypurhat,জয়পুরহাট,4
Pabna,পাবনা,3
Kurigram,কুড়িগ্রাম,3
Feni,ফেনী,3
Chuadanga,চুয়াডাঙ্গা,2
Sirajganj,সিরাজগঞ্জ,2
Lalmonirhat,লালমনিরহাট,2
Panchagarh,পঞ্চগড়,2
Kushtia,কুষ্টিয়া,2
Maulvibazar,মেহেরপুর,2
Meherpur,মৌলভীবাজার,2
Bagerhat,বাগেরহাট,1
Nawabganj,চাঁপাইনবাবগঞ্জ,1
Naogaon,নওগাঁ,1
Sunamganj,সুনামগঞ্জ,1
Magura,মাগুরা,1
