Meherpur,,5
Narayanganj,,1666
Chittagong,,1340
Gazipur,,561
Munshiganj,,432
Comilla,,425
Mymensingh,,375
Rangpur,,369
Cox's Bazar,,283
Noakhali,,280
Kishoreganj,,212
Narsingdi,,175
Jamalpur,,175
Netrakona,,174
Faridpur,,133
Gopalganj,,133
Habiganj,,133
Jessore,,116
Lakshmipur,,104
Joypurhat,,98
Feni,,92
Chandpur,,90
Bogra,,90
Dinajpur,,89
Chuadanga,,89
Brahamanbaria,,87
Shariatpur,,81
Madaripur,,72
Manikganj,,69
Sherpur,,67
Maulvibazar,,66
Barisal,,64
Nilphamari,,62
Sunamganj,,59
Kurigram,,58
Naogaon,,54
Natore,,50
Rajshahi,,49
Sylhet,,48
Rangamati,,47
Jhenaidah,,47
Khulna,,45
Tangail,,44
Nawabganj,,44
Thakurgaon,,39
Kushtia,,38
Barguna,,38
Rajbari,,36
Satkhira,,33
Panchagarh,,30
Patuakhali,,30
Pabna,,29
Gaibandha,,27
Lalmonirhat,,26
Magura,,24
Narail,,23
Khagrachhari,,22
Jhalokati,,17
Bagerhat,,13
Bhola,,13
Bandarban,,9
Sirajganj,,9
Pirojpur,,7
Dhaka,,13568
