date,,24.4.2020
Dhaka,,2124
Narayanganj,,566
Gazipur,,294
Kishoreganj,,180
Narsingdi,,141
Mymensingh,,68
Munshiganj,,63
Chittagong,,45
Gopalganj,,43
Barisal,,35
Comilla,,32
Jamalpur,,30
Madaripur,,28
Lakshmipur,,27
Brahamanbaria,,25
Barguna,,23
Netrakona,,22
Habiganj,,21
Tangail,,21
Sherpur,,19
Patuakhali,,16
Rangpur,,15
Gaibandha,,14
Dinajpur,,13
Sunamganj,,13
Manikganj,,12
Sylhet,,11
Shariatpur,,11
Rajbari,,11
Nilphamari,,10
Bogra,,10
Chandpur,,10
Rajshahi,,9
Thakurgaon,,8
Faridpur,,8
Chuadanga,,8
Narail,,7
Jessore,,7
Khulna,,7
Cox's Bazar,,6
Kurigram,,5
Pirojpur,,5
Jhalokati,,5
Kushtia,,4
Joypurhat,,4
Noakhali,,4
Maulvibazar,,4
Bandarban,,4
Pabna,,3
Feni,,3
Panchagarh,,3
Sirajganj,,2
Bhola,,2
Meherpur,,2
Naogaon,,2
Magura,,2
Lalmonirhat,,2
Natore,,1
Nawabganj,,1
Bagerhat,,1
