date,,9.5.2020
Dhaka,,6629
Narayanganj,,1177
Gazipur,,332
Mymensingh,,212
Munshiganj,,212
Chittagong,,207
Kishoreganj,,202
Narsingdi,,171
Comilla,,169
Rangpur,,120
Jamalpur,,104
Jessore,,79
Cox's Bazar,,77
Habiganj,,70
Netrakona,,68
Lakshmipur,,58
Brahamanbaria,,57
Shariatpur,,57
Chandpur,,55
Madaripur,,54
Gopalganj,,50
Barisal,,48
Nilphamari,,41
Joypurhat,,39
Dinajpur,,38
Jhenaidah,,38
Sunamganj,,37
Barguna,,35
Kurigram,,34
Tangail,,31
Sherpur,,30
Maulvibazar,,30
Patuakhali,,28
Sylhet,,28
Manikganj,,28
Noakhali,,27
Rajshahi,,26
Naogaon,,24
Gaibandha,,24
Rajbari,,23
Thakurgaon,,23
Chuadanga,,23
Faridpur,,21
Kushtia,,20
Khulna,,20
Bogra,,18
Pabna,,16
Nawabganj,,14
Narail,,13
Jhalokati,,13
Lalmonirhat,,13
Natore,,12
Magura,,12
Panchagarh,,10
Feni,,8
Bhola,,7
Pirojpur,,6
Sirajganj,,6
Meherpur,,5
Rangamati,,4
Satkhira,,4
Bandarban,,4
Khagrachhari,,3
Bagerhat,,3
