date,,7.5.2020
Dhaka,,6081
Narayanganj,,1078
Gazipur,,328
Kishoreganj,,202
Mymensingh,,201
Munshiganj,,178
Narsingdi,,167
Chittagong,,140
Comilla,,135
Rangpur,,89
Jamalpur,,79
Jessore,,75
Habiganj,,70
Netrakona,,63
Brahamanbaria,,56
Shariatpur,,55
Madaripur,,53
Cox's Bazar,,53
Lakshmipur,,48
Barisal,,47
Gopalganj,,45
Chandpur,,42
Joypurhat,,37
Sunamganj,,35
Barguna,,34
Jhenaidah,,33
Nilphamari,,31
Dinajpur,,31
Tangail,,30
Maulvibazar,,29
Sherpur,,28
Patuakhali,,28
Manikganj,,28
Sylhet,,27
Rajshahi,,26
Gaibandha,,24
Rajbari,,23
Noakhali,,23
Kurigram,,22
Faridpur,,21
Thakurgaon,,20
Kushtia,,20
Khulna,,20
Bogra,,18
Naogaon,,17
Pabna,,16
Chuadanga,,15
Narail,,13
Jhalokati,,13
Natore,,11
Nawabganj,,11
Panchagarh,,9
Magura,,8
Bhola,,7
Feni,,7
Bandarban,,4
Sirajganj,,4
Lalmonirhat,,4
Satkhira,,4
Rangmati,,4
Meherpur,,4
Bagerhat,,2
Khagrachari,,2
Pirojpur,,0
