date,,13.04.2020
Dhaka,ঢাকা,407
Narayanganj,নারায়ণগঞ্জ,144
Gazipur,গাজীপুর,35
Narshingdi,নরসিংদী,20
Madaripur,মাদারীপুর,19
Chittagong,চট্টগ্রাম,18
Munshigonj,মুন্সিগঞ্জ,17
Kishoreganj,কিশোরগঞ্জ,10
Comilla,কুমিল্লা,9
Tangail,টাঙ্গাইল,7
Brahamanbaria,ব্রাহ্মণবাড়িয়া,6
Chandpur,চাঁদপুর,6
Gaibandha,গাইবান্ধা,6
Jamalpur,জামালপুর,6
Rajbari,রাজবাড়ী,6
Manikganj,মানিকগঞ্জ,5
Mymensingh,ময়মনসিংহ,5
Barguna,বরগুনা,3
Gopalganj,গোপালগঞ্জ,3
Jhalokathi,ঝালকাঠি,3
Nilphamari,নীলফামারী,3
Thakurgaon,ঠাকুরগাঁও,3
Barishal,বরিশাল,2
Potuakhali,পটুয়াখালী,2
Rajshahi,রাজশাহী,2
Rangpur,রাঙ্গামাটি,2
Sherpur,শেরপুর,2
Chuadanga,চুয়াডাঙ্গা,1
Cox's Bazar,কক্সবাজার,1
Hobiganj,হবিগঞ্জ,1
Laksmipur,লক্ষ্মীপুর,1
Lalmonirhat,লালমনিরহাট,1
Moulovi Bazar,মৌলভীবাজার,1
Netrokona,নেত্রকোণা,1
Shariatpur,শরীয়তপুর,1
Sunamganj,সুনামগঞ্জ,1
Sylhet,সিলেট,1
