date,,19.4.2020
Dhaka,,1014
Narayanganj,,386
Gazipur,,173
Narsingdi,,105
Kishoreganj,,77
Chittagong,,39
Munshiganj,,33
Madaripur,,26
Lakshmipur,,21
Gopalganj,,21
Barisal,,21
Mymensingh,,21
Jamalpur,,20
Comilla,,19
Netrakona,,14
Gaibandha,,12
Sherpur,,11
Brahamanbaria,,11
Dinajpur,,10
Tangail,,10
Barguna,,10
Nilphamari,,9
Chandpur,,8
Rajbari,,7
Shariatpur,,7
Manikganj,,6
Thakurgaon,,6
Rangpur,,5
Jhalokati,,4
Pirojpur,,4
Rajshahi,,4
Faridpur,,4
Sylhet,,3
Noakhali,,3
Lalmonirhat,,2
Patuakhali,,2
Pabna,,2
Feni,,2
Joypurhat,,2
Narail,,2
Maulvibazar,,2
Kurigram,,2
Sunamganj,,1
Bandarban,,1
Habiganj,,1
Panchagar,,1
Chuadanga,,1
Cox's Bazar,,1
Bagerhat,,1
Khulna,,1
Jessore,,1
Bogra,,1
