date,,15.5.2020
Dhaka,,8845
Narayanganj,,1391
Chittagong,,553
Gazipur,,490
Munshiganj,,297
Mymensingh,,276
Comilla,,259
Kishoreganj,,206
Narsingdi,,173
Rangpur,,173
Cox's Bazar,,139
Jamalpur,,113
Habiganj,,100
Lakshmipur,,93
Jessore,,89
Noakhali,,89
Netrakona,,89
Gopalganj,,78
Chandpur,,77
Shariatpur,,67
Madaripur,,61
Brahamanbaria,,60
Barisal,,60
Joypurhat,,56
Faridpur,,51
Dinajpur,,47
Jhenaidah,,43
Sunamganj,,43
Nilphamari,,43
Sherpur,,41
Kurigram,,41
Chuadanga,,41
Naogaon,,40
Sylhet,,39
Maulvibazar,,37
Barguna,,37
Tangail,,35
Rajshahi,,30
Bogra,,29
Manikganj,,29
Patuakhali,,29
Rajbari,,27
Feni,,26
Gaibandha,,26
Rangamati,,25
Kushtia,,25
Thakurgaon,,24
Khulna,,23
Magura,,22
Pabna,,18
Lalmonirhat,,17
Narail,,15
Nawabganj,,15
Jhalokati,,14
Natore,,14
Panchagarh,,11
Bhola,,11
Pirojpur,,7
Khagrachhari,,7
Bagerhat,,6
Sirajganj,,6
Meherpur,,5
Satkhira,,5
Bandarban,,5
