Narayanganj,,1771
Chittagong,,1556
Munshiganj,,581
Gazipur,,544
Comilla,,482
Mymensingh,,380
Noakhali,,373
Rangpur,,371
Cox's Bazar,,329
Kishoreganj,,231
Netrakona,,201
Jamalpur,,185
Narsingdi,,175
Habiganj,,158
Sylhet,,155
Gopalganj,,142
Jessore,,140
Bogra,,137
Faridpur,,134
Joypurhat,,125
Dinajpur,,111
Lakshmipur,,103
Chandpur,,103
Naogaon,,101
Feni,,93
Maulvibazar,,93
Brahamanbaria,,90
Chuadanga,,86
Shariatpur,,80
Manikganj,,79
Sherpur,,79
Nilphamari,,78
Sunamganj,,77
Madaripur,,71
Barisal,,64
Kurigram,,62
Tangail,,50
Rangamati,,50
Natore,,50
Thakurgaon,,49
Khulna,,47
Jhenaidah,,47
Rajshahi,,47
Nawabganj,,46
Barguna,,44
Satkhira,,36
Kushtia,,36
Patuakhali,,36
Pabna,,36
Rajbari,,35
Panchagarh,,35
Gaibandha,,31
Lalmonirhat,,30
Jhalokati,,26
Narail,,25
Khagrachhari,,24
Magura,,23
Pirojpur,,21
Bandarban,,20
Bhola,,14
Bagerhat,,13
Sirajganj,,9
Meherpur,,8
Dhaka,,13797
