date,,17.5.2020
Dhaka,,9855
Narayanganj,,1463
Chittagong,,695
Gazipur,,527
Munshiganj,,329
Comilla,,298
Mymensingh,,295
Rangpur,,272
Kishoreganj,,207
Cox's Bazar,,185
Narsingdi,,174
Jamalpur,,120
Noakhali,,113
Habiganj,,112
Netrakona,,108
Jessore,,108
Lakshmipur,,89
Chuadanga,,87
Gopalganj,,83
Chandpur,,81
Feni,,76
Shariatpur,,71
Joypurhat,,69
Brahamanbaria,,67
Madaripur,,63
Barisal,,60
Dinajpur,,56
Faridpur,,56
Kurigram,,54
Nilphamari,,52
Sylhet,,48
Sunamganj,,46
Naogaon,,45
Bogra,,45
Jhenaidah,,44
Sherpur,,42
Tangail,,40
Maulvibazar,,39
Manikganj,,38
Barguna,,37
Rajshahi,,32
Patuakhali,,29
Rajbari,,27
Rangamati,,27
Thakurgaon,,27
Khulna,,27
Kushtia,,27
Gaibandha,,26
Magura,,23
Lalmonirhat,,23
Pabna,,19
Narail,,16
Jhalokati,,16
Panchagarh,,15
Nawabganj,,15
Natore,,14
Bhola,,12
Bagerhat,,8
Pirojpur,,7
Khagrachhari,,7
Sirajganj,,7
Satkhira,,6
Bandarban,,6
Meherpur,,5
