date,,14.4.2020
Dhaka,,484
Narayanganj,,164
Gazipur,,53
Narsingdi,,28
Munshiganj,,21
Chittagong,,20
Madaripur,,19
Kishoreganj,,17
Comilla,,14
Jamalpur,,9
Gopalganj,,9
Brahamanbaria,,8
Gaibandha,,8
Mymensingh,,7
Tangail,,7
Barisal,,7
Rajbari,,6
Chandpur,,6
Shariatpur,,5
Manikganj,,5
Nilphamari,,4
Jhalokati,,3
Sherpur,,3
Rajshahi,,3
Thakurgaon,,3
Barguna,,3
Habiganj,,2
Faridpur,,2
Netrakona,,2
Patuakhali,,2
Maulvibazar,,2
Rangpur,,2
Cox's Bazar,,1
Sylhet,,1
Sunamganj,,1
Lalmonirhat,,1
Chuadanga,,1
Narail,,1
Pirojpur,,1
Lakshmipur,,1
Khulna,,1
Kurigram,,1
