date,,4.5.2020
Dhaka,,4895
Narayanganj,,1021
Gazipur,,325
Kishoreganj,,202
Mymensingh,,166
Narsingdi,,154
Munshiganj,,127
Comilla,,105
Chittagong,,82
Jamalpur,,73
Habiganj,,69
Jessore,,63
Rangpur,,61
Brahamanbaria,,55
Netrakona,,51
Madaripur,,47
Gopalganj,,47
Lakshmipur,,43
Barisal,,41
Shariatpur,,40
Cox's Bazar,,37
Barguna,,36
Joypurhat,,33
Sunamganj,,33
Tangail,,30
Patuakhali,,28
Sherpur,,26
Gaibandha,,25
Manikganj,,22
Dinajpur,,21
Rajshahi,,21
Bogra,,19
Rajbari,,19
Jhenaidah,,19
Maulvibazar,,19
Kurigram,,19
Nilphamari,,18
Sylhet,,18
Noakhali,,17
Thakurgaon,,17
Naogaon,,16
Khulna,,16
Kushtia,,16
Chandpur,,15
Faridpur,,14
Narail,,13
Pabna,,11
Jhalokati,,10
Pirojpur,,10
Natore,,9
Chuadanga,,9
Magura,,8
Panchagarh,,8
Bandarban,,7
Feni,,6
Bhola,,5
Sirajganj,,4
Lalmonirhat,,3
Satkhira,,2
Bagerhat,,2
Nawabganj,,2
Khagrachari,,2
Meherpur,,2
