date,,22.4.2020
Dhaka,,1523
Narayanganj,,508
Gazipur,,269
Kishoreganj,,146
Narsingdi,,136
Mymensingh,,63
Munshiganj,,61
Chittagong,,42
Gopalganj,,35
Barisal,,34
Jamalpur,,29
Madaripur,,27
Comilla,,26
Lakshmipur,,25
Brahamanbaria,,24
Netrakona,,22
Sherpur,,19
Barguna,,17
Tangail,,15
Dinajpur,,13
Gaibandha,,13
Habiganj,,13
Shariatpur,,11
Patuakhali,,10
Nilphamari,,10
Rajbari,,10
Chandpur,,10
Rajshahi,,9
Rangpur,,9
Manikganj,,9
Thakurgaon,,8
Narail,,7
Faridpur,,6
Pirojpur,,5
Cox's Bazar,,5
Bogra,,5
Jhalokati,,5
Jessore,,5
Khulna,,4
Noakhali,,4
Bandarban,,4
Sylhet,,4
Joypurhat,,4
Pabna,,3
Kurigram,,3
Feni,,3
Chuadanga,,2
Sirajganj,,2
Lalmonirhat,,2
Panchagarh,,2
Kushtia,,2
Maulvibazar,,2
Meherpur,,2
Bagerhat,,1
Nawabganj,,1
Naogaon,,1
Sunamganj,,1
Magura,,1
