date,,3.5.2020
Dhaka,,4609
Narayanganj,,1007
Gazipur,,324
Kishoreganj,,201
Narsingdi,,152
Mymensingh,,150
Munshiganj,,126
Comilla,,105
Chittagong,,80
Jamalpur,,73
Habiganj,,67
Jessore,,63
Rangpur,,50
Madaripur,,46
Gopalganj,,45
Brahamanbaria,,44
Lakshmipur,,42
Barisal,,41
Netrakona,,41
Cox's Bazar,,37
Barguna,,36
Shariatpur,,35
Sunamganj,,33
Joypurhat,,33
Tangail,,29
Patuakhali,,28
Sherpur,,26
Gaibandha,,25
Manikganj,,22
Rajshahi,,21
Dinajpur,,21
Kurigram,,19
Rajbari,,19
Jhenaidah,,19
Bogra,,19
Sylhet,,18
Maulvibazar,,17
Thakurgaon,,17
Naogaon,,16
Khulna,,16
Kushtia,,16
Nilphamari,,16
Chandpur,,15
Noakhali,,15
Faridpur,,13
Narail,,13
Pabna,,10
Jhalokati,,10
Pirojpur,,10
Natore,,9
Chuadanga,,9
Panchagarh,,8
Magura,,8
Bandarban,,7
Feni,,6
Bhola,,5
Lalmonirhat,,3
Sirajganj,,3
Bagerhat,,2
Nawabganj,,2
Satkhira,,2
Khagrachari,,2
Meherpur,,2
